index,Geo_Region_for_Bean,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness
0,Akata,39.42,140.12,24.0,60,75
1,Carenero,21.08,-76.03,25.0,94,95
2,Cuba,22.0,-79.5,23.37,93,94
3,Puerto Cabello,10.47,-68.01,26.44,81,100
4,Panama,9.0,-80.0,25.56,94,98
5,Madagascar,-20.0,47.0,9.43,84,31
6,Brazil,39.52,-87.12,18.0,82,20
7,Colombia,4.0,-72.0,22.76,95,69
8,Myanmar,22.0,98.0,27.99,80,51
9,Chuao,10.49,-67.53,18.89,73,100
10,Piura,-5.2,-80.63,19.77,69,1
11,Bolivia,34.07,-78.15,25.56,78,90
12,Peru,40.75,-86.07,18.89,77,1
13,Chulucanas,-5.09,-80.16,18.83,73,2
14,Tumbes,-3.57,-80.44,22.18,74,29
15,Los Rios,-27.42,-65.67,17.19,65,70
16,Los Rios,-27.42,-65.67,17.19,65,70
17,Tabasco,18.0,-92.67,24.57,92,58
18,Madagascar,-20.0,47.0,9.43,84,31
19,Monte Alegre,-2.01,-54.07,23.36,95,55
20,Vietnam,16.17,107.83,36.0,59,20
21,Madagascar,-20.0,47.0,9.43,84,31
22,Chuao,10.49,-67.53,18.89,73,100
23,Piura,-5.2,-80.63,19.77,69,1
24,La Dalia,12.86,-87.5,27.42,77,100
25,Villa Andina,-14.35,-74.68,6.7,68,0
26,Bolivia,34.07,-78.15,25.56,78,90
27,Bolivia,34.07,-78.15,25.56,78,90
28,Peru,40.75,-86.07,18.89,77,1
29,Dos Rios,9.51,-82.84,24.42,82,100
30,Guayas,10.25,-67.15,20.56,73,95
31,Chuao,10.49,-67.53,18.89,73,100
32,Bali,-8.5,115.0,30.0,74,20
33,Madagascar,-20.0,47.0,9.43,84,31
34,Cuyagua,10.48,-67.7,25.38,84,100
35,Ocumare del Tuy,10.12,-66.78,20.56,73,68
36,Ghana,8.0,-2.0,21.77,94,54
37,Ecuador,-2.0,-77.5,20.98,88,0
38,Ecuador,-2.0,-77.5,20.98,88,0
39,Ghana,8.0,-2.0,21.77,94,54
40,Belize,17.25,-88.75,25.56,72,93
41,Madagascar,-20.0,47.0,9.43,84,31
42,Dominican Republic,19.0,-70.67,14.59,100,90
43,Venezuela,8.0,-66.0,26.21,79,80
44,Peru,40.75,-86.07,18.89,77,1
45,Piura,-5.2,-80.63,19.77,69,1
46,Porcelana,-22.77,-64.3,17.96,90,98
47,Nine,41.46,-8.55,14.0,93,75
48,Chuao,10.49,-67.53,18.89,73,100
49,Ecuador,-2.0,-77.5,20.98,88,0
50,Jamaica,22.98,-82.17,24.0,100,40
51,Granada,37.19,-3.61,15.0,87,75
52,Venezuela,8.0,-66.0,26.21,79,80
53,Madagascar,-20.0,47.0,9.43,84,31
54,La Santisima Trinidad,-14.83,-64.9,22.1,80,0
55,Monte Alegre,-2.01,-54.07,23.36,95,55
56,Monte Alegre,-2.01,-54.07,23.36,95,55
57,Monte Alegre,-2.01,-54.07,23.36,95,55
58,Monte Alegre,-2.01,-54.07,23.36,95,55
59,Madagascar,-20.0,47.0,9.43,84,31
60,Chiapas,16.5,-92.5,16.79,86,81
61,San Juan,-31.54,-68.54,13.41,32,0
62,La Masica,15.62,-87.12,25.07,82,73
63,Nacional,18.48,-69.93,27.78,88,75
64,Puerto Quito,0.12,-79.26,21.93,94,47
65,Guatemala City,14.64,-90.51,19.0,82,20
66,Trinidad,-14.83,-64.9,22.1,80,0
67,Colombia,20.99,-77.43,24.0,100,50
68,Haiti,19.0,-72.42,26.0,88,100
69,Panama,9.0,-80.0,25.56,94,98
70,Venezuela,8.0,-66.0,26.21,79,80
71,Jamaica,22.98,-82.17,24.0,100,40
72,Costa Rica,-23.42,-54.65,19.68,83,8
73,Bali,-8.5,115.0,30.0,74,20
74,Ocumare del Tuy,10.12,-66.78,20.56,73,68
75,Java,42.4,43.94,20.78,50,87
76,Madagascar,-20.0,47.0,9.43,84,31
77,Peru,40.75,-86.07,18.89,77,1
78,Dominican Republic,19.0,-70.67,14.59,100,90
79,Republic of the Congo,-1.0,15.0,22.85,90,100
80,Cortes,41.94,-1.44,12.0,66,18
81,Davao,6.81,125.71,29.0,74,90
82,Estado de Bahia,-12.0,-42.0,16.6,95,13
83,Bambamarca,-6.68,-78.53,9.26,76,2
84,Estado de Bahia,-12.0,-42.0,16.6,95,13
85,Chiapas,16.5,-92.5,16.79,86,81
86,Dominican Republic,19.0,-70.67,14.59,100,90
87,Brazil,39.52,-87.12,18.0,82,20
88,Ecuador,-2.0,-77.5,20.98,88,0
89,Brazil,39.52,-87.12,18.0,82,20
90,Dominican Republic,19.0,-70.67,14.59,100,90
91,Ecuador,-2.0,-77.5,20.98,88,0
92,Ecuador,-2.0,-77.5,20.98,88,0
93,Costa Rica,-23.42,-54.65,19.68,83,8
94,Peru,40.75,-86.07,18.89,77,1
95,Ecuador,-2.0,-77.5,20.98,88,0
96,Baracoa,20.35,-74.5,25.58,82,100
97,Chuao,10.49,-67.53,18.89,73,100
98,Bali,32.29,119.4,33.89,68,97
99,Madagascar,-20.0,47.0,9.43,84,31
100,Maracaibo,10.63,-71.64,25.6,82,94
101,Ecuador,-2.0,-77.5,20.98,88,0
102,Porcelana,-22.77,-64.3,17.96,90,98
103,Java,42.4,43.94,20.78,50,87
104,Nicaragua,13.0,-85.0,22.53,94,98
105,San Andrés,12.58,-81.7,28.0,78,75
106,San Andrés,12.58,-81.7,28.0,78,75
107,Belize,17.25,-88.75,25.56,72,93
108,Ghana,8.0,-2.0,21.77,94,54
109,Bali,-8.5,115.0,30.0,74,20
110,Bali,-8.5,115.0,30.0,74,20
111,Ocumare del Tuy,10.12,-66.78,20.56,73,68
112,Puerto Plata,19.79,-70.69,26.67,83,97
113,Puerto Plata,19.79,-70.69,26.67,83,97
114,Bocas del Toro,9.33,-82.25,17.22,100,100
115,Puerto Plata,19.79,-70.69,26.67,83,97
116,Matiguás,12.84,-85.46,21.67,93,97
117,Republic of the Congo,-1.0,15.0,22.85,90,100
118,Guatemala City,14.64,-90.51,19.0,82,20
119,Madagascar,-20.0,47.0,9.43,84,31
120,Kaori,13.47,8.48,26.0,78,91
121,Los Colorados,10.24,-68.89,17.0,100,100
122,Gabon,-1.0,11.75,21.64,92,100
123,Cuba,22.0,-79.5,23.37,93,94
